date,open,high,low,close,volume,Name
2/8/13,261.4,265.25,260.555,261.95,3879078,AMZN
2/11/13,263.2,263.25,256.6,257.21,3403403,AMZN
2/12/13,259.19,260.16,257,258.7,2938660,AMZN
2/13/13,261.53,269.96,260.3,269.47,5292996,AMZN
2/14/13,267.37,270.65,265.4,269.24,3462780,AMZN
2/15/13,267.63,268.92,263.11,265.09,3979832,AMZN
2/19/13,265.91,270.11,264.5,269.75,2853752,AMZN
2/20/13,270.2,274.3,266.371,266.41,3528862,AMZN
2/21/13,265.12,269.48,263.25,265.94,3637396,AMZN
2/22/13,266.62,267.11,261.61,265.42,3123402,AMZN
2/25/13,266.94,268.694,259.65,259.87,3032109,AMZN
2/26/13,260.89,262.04,255.73,259.36,3348011,AMZN
2/27/13,259.4,265.83,256.86,263.25,2908010,AMZN
2/28/13,261.81,267,260.63,264.27,2667199,AMZN
3/1/13,263.27,266.6,261.04,265.74,2956724,AMZN
3/4/13,265.36,273.3,264.14,273.11,3452783,AMZN
3/5/13,274,276.68,269.99,275.59,3685983,AMZN
3/6/13,275.76,276.489,271.832,273.79,2050452,AMZN
3/7/13,274.1,274.8,271.85,273.88,1938987,AMZN